Code,Name,Product Information,Price,Saving Price,Review Count
1838413,"OnePlus Nord CE 3 Lite Chromatic Grey 6.72"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.72 inches
Storage: 128GB
Triple 108, 2 and 2 Megapixel Rear camera",£249.00,£40,1
1838412,"OnePlus Nord CE 3 Lite Pastel Lime 6.72"" 128GB 5G Unlocked & SIM Free","Android 13 Operating System
Screen: 6.72 inches
Storage: 128GB
Triple 108, 2 and 2 Megapixel Rear camera",£249.00,£40,0
1656819,"Alcatel 1 2021 Volcano Black 5"" 8GB 4G Unlocked & SIM Free Smartphone","Android 11 Operating System
Screen: 5 Inches
Storage: 8GB
5 Megapixel Rear camera",£79.00,0,0
1828876,"Samsung Galaxy A34 Awesome Black 6.6"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 128GB
Triple 48, 8 and 5 Megapixel Rear camera",£299.00,£80,0
1828334,"Samsung Galaxy A14 4G Black 6.6"" 64GB 4G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 64GB
Triple 50, 5 and 2 Megapixel Rear camera",£139.00,£40,0
1817982,"Samsung Galaxy S23 Phantom Black 6.1"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.1 Inches
Storage: 256GB
Triple 12, 50 and 10 Megapixel Rear camera",£749.00,£150,3
1560476,"Samsung Galaxy XCover 5 Black 5.3"" 64GB 4G Unlocked & SIM Free Smartphone","Android 11 Operating System
Screen: 5.3 Inches
Storage: 64GB
16 Megapixel Rear camera",£219.00,£50,0
1839637,"Google Pixel 7a Charcoal 6.1"" 128GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.1 Inches
Storage: 128GB
Dual 64 and 13 Megapixel Rear camera",£399.00,£100,0
1864930,"Fairphone 5 Transparent 6.46"" 256GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.46 Inches
Storage: 256GB
Dual 50 Megapixel Rear camera",£619.00,0,0
1828336,"Samsung Galaxy A14 5G Awesome Black  6.6"" 64GB 5G Unlocked & SIM Free Smartphone","Android 13 Operating System
Screen: 6.6 Inches
Storage: 64GB
Triple 50, 2 and 2 Megapixel Rear camera",£199.00,£20,2
