product_title,average_rating,total_reviews,review_author,review_rating,review_text
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Lacho,4,Buen teléfono
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Antoinette Gonzales,1,Phone is cheaply made. I dropped the phone barely chufy and the screen broke this is my second phone has my first one the screen cracked as well. IPhones can survive a drop off a damn 10-story building but this Samsung phone can't even survive a two foot drop. It is a very sad and disappointing product from such a a so-called great company. Do not buy stay away from this phone
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Gregory Palma,1,"El teléfono esta totalmente despegado de la pantalla de la carcaza , pareciera que la pila esta inflada , requiero cambio ya que no tiene ni un año de uso"
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Hong,5,Battery life.
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Jose Luis Huerfano Pinate,4,Este teléfono no es compatible con ninguna línea disponible en los Estados Unidos y no me sirve .
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,ivy05,1,fast delivery but it doesn't work with Sprint/T-mobile. The IMEI is not in their system. The phone goes back to the seller.
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Bob,4,last year's model has all good features
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Amazon Customer,5,Good phone
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Dc,5,Very responssive
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Taylor,1,Not att user friendly will not purchase cell from amazon again. I'll go to manufacture.
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,yvette,1,When I order this there was nothing said that it could not be activated by my carrier due to the fact it was an international set and not supported by my carrier
"Samsung Galaxy A10s A107M - 32GB, 6.2"" HD+ Infinity-V Display, 13MP+2MP Dual Rear +8MP Front Cameras, GSM Unlocked Smartphone - Blue",4.3,982,Ryan,1,No Network Connection 1 day after refund/return window closed. Product was definitely defective. Shouldn't need a new SIM Card reader after a month.
