product_title,average_rating,total_reviews,review_author,review_rating,review_text
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Doreen Corliss,1,This phone has absolutely no battery life
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,thomas coleman,4,The phone has messed up I can’t dial or answer on it it’s still brand new haven’t drop it or nothing
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Lynda Pittman,5,Nothing
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kamilah,5,👍
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Juan Carlos rivera nieto,1,Se descarga muy rápido. No sirve la batería
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,lloyd,1,Battery was junk and supposed to be refurbished!!
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Cori L Reece,5,Bought phone and within 24 hours of recieving product it stopped working. Contacted seller they offered 20$ to replace the battery that cost 60$ and then I also had to replace the charging port. I would not recommend buying from them unless you plan on rebuilding the complete phone again.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Meet,2,"That is one reason I like brand new iPhones, otherwise, the battery starts dying super quick because they are not original batteries. I am glad it happened during the return period. I sent it back. Better to spend more than sorry."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Jose Lezcano,4,Great phone
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Clara,4,"pro - nice condition, great battery life, responsive screen, everything i expected Con- the charger base provided seemed random and the tape they used left it sticky"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Mary Joanna Fugal,5,Came with screen protector which was awe! Works great right out of the box. No issues so far.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kattwhite,1,I bought this phone in July and by December it started having issues. Now it doesn't read the SIM card at all so the phone will not work. NEVER buying renewal phone from Amazon again. What I paid for the Renewed phone I know can get a brand new one for a little less. SO ANGRY right now. Very dissatisfied customer.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Kelvin Rodriguez,5,Ok
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,PhillyD,5,Phone works fine. I'm not a big user and don't use many functions. Mostly for phone and camera.
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Rosemary Sanchez,5,I liked it alot
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Binh,1,"I bought an iphone 7 on July 13, 2020; it just stopped receiving a phone signal since Jan 1, 2021. The phone is literally less than half a year old since I purchased it. I tried to contact the seller to see if there is a solution. But I haven't heard anything from him/her. Really really bad customer service and terrible products he/she is selling."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,Sadiyah Na Phoniey,5,"The phone worked for 1-2months. After that, the would not charge. Don’t this phone or anyone sold on Amazon. Save your money and buy it from apple."
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,K. Pollard,5,"Excellent seller- Refurbished electronics at times may get a bad wrap, and sometimes not everything is perfect- but this seller made everything right IMMEDIATELY without hesitation or a a long process. Our “new”phone is perfect, working flawlessly & made the perfect gift! Thank you Hybrid IT!"
"Apple iPhone 7, 32GB, Black - Fully Unlocked (Renewed)",4.2,9848,jada,1,No battery life
