id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
1802,47,Apple iPhone,"Released 2007, June","135g, 11.6mm thickness","iOS, up to iOS 3.1.3","16GB storage, no card slot","3.5""",320x480 pixels,2 MP         ,No video recorder,&nbsp; ,,&nbsp;,Li-Ion,8/9/2021 07:25:59,8/9/2021 07:25:59
2394,47,Apple iPhone 3G,"Released 2008, July","133g, 12.3mm thickness","iOS, up to iOS 4.2.1","8GB/16GB storage, no card slot","3.5""",320x480 pixels,2 MP         ,No video recorder,128 MB RAM ,,&nbsp;,Li-Ion,8/9/2021 13:06:38,8/9/2021 13:06:38
2792,47,Apple iPhone 3GS,"Released 2009, June","135g, 12.3mm thickness","iOS 3, up to iOS 6.1.6","8GB/16GB/32GB storage, no card slot","3.5""",320x480 pixels,3 MP         ,480p,256 MB RAM ,,&nbsp;,Li-Ion,8/9/2021 13:20:31,8/9/2021 13:20:31
3234,47,Apple iPhone 4,"Released 2010, June","137g, 9.3mm thickness","iOS 4, up to iOS 7.1.2","8GB/16GB/32GB storage, no card slot","3.5""",640x960 pixels,5 MP         ,720p,512 MB RAM ,Apple A4,1420 mAh ,Li-Po,8/9/2021 13:50:59,8/9/2021 13:50:59
3672,47,Apple iPhone 4 CDMA,"Released 2011, February","137g, 9.3mm thickness","iOS 4, up to iOS 7.1.1","16GB/32GB storage, no card slot","3.5""",640x960 pixels,5 MP         ,720p,512 MB RAM ,Apple A4,1420 mAh ,Li-Po,8/9/2021 14:05:31,8/9/2021 14:05:31
4166,47,Apple iPhone 4s,"Released 2011, October 14","140g, 9.3mm thickness","iOS 5, up to iOS 9.3.5","8GB/16GB/64GB storage, no card slot","3.5""",640x960 pixels,8 MP         ,1080p,512 MB RAM ,Apple A5,1432 mAh ,Li-Po,9/9/2021 12:58:54,9/9/2021 12:58:54
4862,47,Apple iPhone 5,"Released 2012, September  21","112g, 7.6mm thickness","iOS 6, up to iOS 10.3.3","16GB/32GB/64GB storage, no card slot","4.0""",640x1136 pixels,8 MP         ,1080p,1 GB RAM ,Apple A6,1440 mAh ,Li-Po,9/9/2021 14:06:51,9/9/2021 14:06:51
5636,47,Apple iPhone 5s,"Released 2013, September 20","112g, 7.6mm thickness","iOS 7, up to iOS 12.4.6","16GB/32GB/64GB storage, no card slot","4.0""",640x1136 pixels,8 MP         ,1080p,1 GB RAM ,Apple A7,1560 mAh ,Li-Po,9/9/2021 16:47:32,9/9/2021 16:47:32
5641,47,Apple iPhone 5c,"Released 2013, September 20","132g, 9mm thickness","iOS 7, up to iOS 10.3.3","8GB/16GB/32GB storage, no card slot","4.0""",640x1136 pixels,8 MP         ,1080p,1 GB RAM ,Apple A6,1510 mAh ,Li-Po,9/9/2021 16:47:46,9/9/2021 16:47:46
6329,47,Apple iPhone 6,"Released 2014, September 19","129g, 6.9mm thickness","iOS 8, up to iOS 12.4.6","16GB/32GB/128GB storage, no card slot","4.7""",750x1334 pixels,8 MP         ,1080p,1 GB RAM ,Apple A8,1810 mAh ,Li-Po,9/9/2021 22:02:12,9/9/2021 22:02:12
6615,47,Apple iPhone 6 Plus,"Released 2014, September 19","172g, 7.1mm thickness","iOS 8, up to iOS 12.4.6","16GB/64GB/128GB storage, no card slot","5.5""",1080x1920 pixels,8 MP         ,1080p,1 GB RAM ,Apple A8,2915 mAh ,Li-Po,9/9/2021 22:14:12,9/9/2021 22:14:12
7191,47,Apple iPhone 6s,"Released 2015, September 25","143g, 7.1mm thickness","iOS 9, up to iOS 14.7","16GB/32GB/128GB storage, no card slot","4.7""",750x1334 pixels,12 MP         ,2160p,2 GB RAM ,Apple A9,1715 mAh ,Li-Ion,9/9/2021 22:39:24,9/9/2021 22:39:24
7192,47,Apple iPhone 6s Plus,"Released 2015, September 25","192g, 7.3mm thickness","iOS 9, up to iPadOS 14.6","16GB/32GB/128GB storage, no card slot","5.5""",1080x1920 pixels,12 MP         ,2160p,2 GB RAM ,Apple A9,2750 mAh ,Li-Ion,9/9/2021 22:39:28,9/9/2021 22:39:28
7918,47,Apple iPhone SE,"Released 2016, March 31","113g, 7.6mm thickness","iOS 9.3.2, up to iOS 14.7","16GB/32GB/128GB storage, no card slot","4.0""",640x1136 pixels,12 MP         ,2160p,2 GB RAM ,Apple A9,1624 mAh ,Li-Po,9/9/2021 23:11:08,9/9/2021 23:11:08
8013,47,Apple iPhone 7,"Released 2016, September 16","138g, 7.1mm thickness","iOS 10.0.1, up to iOS 14.7","32GB/128GB/256GB storage, no card slot","4.7""",750x1334 pixels,12 MP         ,2160p,2 GB RAM ,Apple A10 Fusion,1960 mAh ,Li-Ion,9/9/2021 23:15:19,9/9/2021 23:15:19
8014,47,Apple iPhone 7 Plus,"Released 2016, September 16","188g, 7.3mm thickness","iOS 10.0.1, up to iOS 14.7","32GB/128GB/256GB storage, no card slot","5.5""",1080x1920 pixels,12 MP         ,2160p,3 GB RAM ,Apple A10 Fusion,2900 mAh ,Li-Ion,9/9/2021 23:15:24,9/9/2021 23:15:24
8080,47,Apple iPhone 8 Plus,"Released 2017, September 22","202g, 7.5mm thickness","iOS 11, up to iOS 14.7","64GB/128GB/256GB storage, no card slot","5.5""",1080x1920 pixels,12 MP         ,2160p,3 GB RAM ,Apple A11 Bionic,2691 mAh ,Li-Ion,9/9/2021 23:18:22,9/9/2021 23:18:22
8522,47,Apple iPhone 8,"Released 2017, September 22","148g, 7.3mm thickness","iOS 11, up to iOS 14.7","64GB/128GB/256GB storage, no card slot","4.7""",750x1334 pixels,12 MP         ,2160p,2 GB RAM ,Apple A11 Bionic,1821 mAh ,Li-Ion,9/9/2021 23:37:18,9/9/2021 23:37:18
