id,brand_id,name,released_at,body,os,storage,display_size,display_resolution,camera_pixels,video_pixels,ram,chipset,battery_size,battery_type,created_at,updated_at
40,4,Samsung SGH-250,Released 1996,"179g, 25mm thickness",Feature phone,No card slot,&nbsp;,3x12 chars,NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:31,7/9/2021 12:35:31
41,4,Samsung SGH-500,Released 1998,"115g with slim battery, 19mm thickness",Feature phone,No card slot,&nbsp;,"78x42 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:34,7/9/2021 12:35:34
42,4,Samsung SGH-600,Released 1999,"95g with slim battery, 21mm thickness",Feature phone,No card slot,&nbsp;,"96x32 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:36,7/9/2021 12:35:36
43,4,Samsung SGH-800,Released 2000,"104g with slim battery, 23.5mm thickness",Feature phone,No card slot,&nbsp;,"128x64 pixels, 8 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:39,7/9/2021 12:35:39
44,4,Samsung SGH-810,Released 2000,"104g with slim battery, 23.5mm thickness",Feature phone,No card slot,&nbsp;,"128x64 pixels, 8 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:41,7/9/2021 12:35:41
45,4,Samsung SGH-2100,Released 1999,"111g with slim battery, 24mm thickness",Feature phone,No card slot,&nbsp;,"115x60 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:43,7/9/2021 12:35:43
46,4,Samsung SGH-2200,Released 1999,"111g with slim battery, 22mm thickness",Feature phone,No card slot,&nbsp;,"115x60 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:46,7/9/2021 12:35:46
47,4,Samsung SGH-2400,Released 1999,"90g with slim battery, 18.8mm thickness",Feature phone,No card slot,&nbsp;,"115x60 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:48,7/9/2021 12:35:48
48,4,Samsung A100,Released 2000,"87g with slim battery, 22.9mm thickness",Feature phone,No card slot,&nbsp;,"115x60 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,700 mAh ,Li-Ion,7/9/2021 12:35:51,7/9/2021 12:35:51
200,4,Samsung A110,Released 2000,"87g with slim battery, 22.9mm thickness",Feature phone,No card slot,&nbsp;,"115x60 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,800 mAh ,Li-Ion,7/9/2021 12:42:02,7/9/2021 12:42:02
201,4,Samsung M100,Released 2000,"97g, 19.3mm thickness",Feature phone,"32MB storage, no card slot",&nbsp;,"128x64 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,800 mAh ,Li-Ion,7/9/2021 12:42:05,7/9/2021 12:42:05
205,4,Samsung N100,Released 2000,"83g with slim battery, 17.5mm thickness",Feature phone,No card slot,&nbsp;,"124x64 pixels, 4 lines",NO         ,No video recorder,&nbsp; ,,1300 mAh ,Li-Ion,7/9/2021 12:42:15,7/9/2021 12:42:15
221,4,Samsung Q100,Released 2001,"85g, 18.5mm thickness",Feature phone,No card slot,&nbsp;,128x128 pixels,NO         ,No video recorder,&nbsp; ,,600 mAh ,Li-Ion,7/9/2021 12:42:54,7/9/2021 12:42:54
250,4,Samsung A200,Released 2001,"77g with slim battery, 23mm thickness",Feature phone,No card slot,&nbsp;,128x64 pixels,NO         ,No video recorder,&nbsp; ,,600 mAh ,Li-Ion,7/9/2021 12:44:04,7/9/2021 12:44:04
251,4,Samsung A300,Released 2001,"77g with slim battery, 22mm thickness",Feature phone,No card slot,&nbsp;,128x128 pixels,NO         ,No video recorder,&nbsp; ,,900 mAh ,Li-Ion,7/9/2021 12:44:06,7/9/2021 12:44:06
252,4,Samsung N300,Released 2001,"85g, 18.5mm thickness",Feature phone,No card slot,&nbsp;,"124x64 pixels, 8 lines",NO         ,No video recorder,&nbsp; ,,900 mAh ,Li-Ion,7/9/2021 12:44:09,7/9/2021 12:44:09
267,4,Samsung A400,"Released 2001, Q4","80g, 20mm thickness",Feature phone,No card slot,&nbsp;,"128x 96 pixels, 6 lines",NO         ,No video recorder,&nbsp; ,,650 mAh ,Li-Ion,7/9/2021 12:44:44,7/9/2021 12:44:44
268,4,Samsung N400,Released 2001,"91g, 18mm thickness",Feature phone,No card slot,&nbsp;,"128x128 pixels, 8 lines",NO         ,No video recorder,&nbsp; ,,650 mAh ,Li-Ion,7/9/2021 12:44:47,7/9/2021 12:44:47
280,4,Samsung R200,Released 2001,"99g, 23.5mm thickness",Feature phone,No card slot,&nbsp;,128x64 pixels,NO         ,No video recorder,&nbsp; ,,750 mAh ,Li-Ion,7/9/2021 12:45:15,7/9/2021 12:45:15
281,4,Samsung R210,Released 2001,"99g, 23.5mm thickness",Feature phone,No card slot,&nbsp;,128x64 pixels,NO         ,No video recorder,&nbsp; ,,750 mAh ,Li-Ion,7/9/2021 12:45:17,7/9/2021 12:45:17
282,4,Samsung R220,Released 2001,"99g, 23.5mm thickness",Feature phone,No card slot,&nbsp;,128x64 pixels,NO         ,No video recorder,&nbsp; ,,750 mAh ,Li-Ion,7/9/2021 12:45:20,7/9/2021 12:45:20
283,4,Samsung N105,Released 2001,"83g with slim battery, 17.5mm thickness",Feature phone,No card slot,&nbsp;,"124x64 pixels, 5 lines",NO         ,No video recorder,&nbsp; ,,750 mAh ,Li-Ion,7/9/2021 12:45:22,7/9/2021 12:45:22
284,4,Samsung Q105,Released 2001,"85g, 18.5mm thickness",Feature phone,No card slot,&nbsp;,"128x128 pixels, 6 lines",NO         ,No video recorder,&nbsp; ,,900 mAh ,Li-Ion,7/9/2021 12:45:24,7/9/2021 12:45:24
